               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.022476,            0.010705,           0.0025958,             0.88479,             0.91641,             0.93569,             0.72814,            0.011145,           0.0032543,           0.0030928,             0.00604,             0.00604,             0.00604
                 122,            0.021025,            0.010822,            0.002033,             0.83595,             0.95691,             0.94242,             0.73548,            0.011356,           0.0032229,           0.0030886,            0.006007,            0.006007,            0.006007
                 123,             0.02149,            0.010536,           0.0024779,             0.86426,             0.91161,             0.93434,             0.73348,            0.011671,           0.0033494,           0.0034589,            0.005974,            0.005974,            0.005974
                 124,            0.020775,             0.01078,           0.0024984,             0.83608,             0.91325,             0.93126,              0.7139,            0.012327,           0.0033724,           0.0034017,            0.005941,            0.005941,            0.005941
                 125,            0.020468,            0.010612,           0.0022013,             0.83299,             0.88727,             0.93509,             0.73307,            0.011359,           0.0035281,            0.002902,            0.005908,            0.005908,            0.005908
                 126,            0.021318,            0.010785,           0.0030296,              0.8333,             0.90909,              0.9318,             0.73369,            0.010813,            0.003509,           0.0033136,            0.005875,            0.005875,            0.005875
                 127,            0.021779,            0.010729,           0.0029784,             0.86903,             0.87964,             0.94809,             0.74961,            0.011137,           0.0034169,           0.0027266,            0.005842,            0.005842,            0.005842
                 128,            0.021169,            0.010856,           0.0033854,             0.82792,             0.91113,             0.94304,              0.7178,            0.011854,            0.003516,           0.0029263,            0.005809,            0.005809,            0.005809
                 129,            0.020759,            0.010742,           0.0026464,             0.85239,             0.91834,             0.93097,             0.73165,            0.011232,           0.0032973,           0.0036413,            0.005776,            0.005776,            0.005776
                 130,            0.021477,            0.010823,           0.0027616,             0.86763,             0.90921,             0.94143,             0.73428,            0.011437,           0.0034304,           0.0026401,            0.005743,            0.005743,            0.005743
                 131,            0.019854,            0.010232,           0.0023735,             0.85822,             0.92416,             0.94701,             0.75968,            0.010936,           0.0032428,           0.0028957,             0.00571,             0.00571,             0.00571
                 132,            0.022848,            0.010736,           0.0032996,             0.86862,             0.91398,             0.94543,             0.75625,            0.010879,           0.0032509,           0.0032787,            0.005677,            0.005677,            0.005677
                 133,            0.021542,            0.010547,           0.0021236,             0.89685,              0.8598,             0.94672,             0.76279,             0.01145,           0.0033486,           0.0033944,            0.005644,            0.005644,            0.005644
                 134,            0.021598,            0.010446,           0.0027488,             0.80059,             0.94114,             0.91845,             0.73051,            0.011558,           0.0033351,           0.0030589,            0.005611,            0.005611,            0.005611
                 135,            0.021051,            0.010318,           0.0022451,             0.83624,             0.87633,             0.92596,               0.725,            0.011566,           0.0035839,           0.0026737,            0.005578,            0.005578,            0.005578
                 136,            0.020842,            0.010572,           0.0024445,             0.80396,              0.9137,             0.93559,             0.74018,             0.01169,            0.003463,           0.0025874,            0.005545,            0.005545,            0.005545
                 137,            0.021035,             0.01085,           0.0030894,              0.8514,              0.9024,             0.94172,              0.7408,            0.011391,           0.0034353,           0.0028942,            0.005512,            0.005512,            0.005512
                 138,            0.020015,            0.010596,           0.0041116,              0.8321,             0.92151,              0.9341,             0.74143,            0.011066,           0.0035397,           0.0033535,            0.005479,            0.005479,            0.005479
                 139,             0.02196,            0.010632,           0.0022612,             0.85725,             0.88983,             0.94908,             0.75791,            0.010786,           0.0035077,            0.002765,            0.005446,            0.005446,            0.005446
                 140,            0.020025,            0.010105,           0.0021605,             0.88835,             0.87338,             0.93414,             0.75628,            0.010681,           0.0035463,           0.0028263,            0.005413,            0.005413,            0.005413
                 141,            0.019809,             0.01026,           0.0022084,             0.81459,             0.96224,             0.93291,             0.74299,            0.010917,           0.0035082,           0.0030302,             0.00538,             0.00538,             0.00538
                 142,            0.017951,            0.010236,           0.0028951,             0.88862,             0.86675,             0.94607,             0.73531,            0.011214,           0.0035171,           0.0032766,            0.005347,            0.005347,            0.005347
